epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
83,5106.97,0.70685,1.74898,0.6864,1.24245,0,0.98945,0.98667,0.98428,0.95282,0.98945,0.98667,0.98428,0.92441,0.2692,0.36425,0.20623,0.8047,0,0.000750236,0.000750236,0.000750236
84,5167.23,0.69284,1.78175,0.67366,1.23121,0,0.98727,0.98667,0.98409,0.96449,0.98727,0.98667,0.98409,0.9175,0.25479,0.34071,0.20571,0.78647,0,0.000745837,0.000745837,0.000745837
85,5227.58,0.70167,1.76892,0.65458,1.2391,0,0.98002,0.98667,0.98532,0.96714,0.98002,0.98667,0.98532,0.92769,0.24386,0.34963,0.20305,0.78623,0,0.000741437,0.000741437,0.000741437
86,5287.63,0.69355,1.75224,0.66203,1.22614,0,0.98794,0.96579,0.98409,0.9573,0.98794,0.96579,0.98409,0.91965,0.2722,0.35778,0.20838,0.7813,0,0.000737037,0.000737037,0.000737037
87,5347.77,0.70237,1.77512,0.66249,1.23837,0,0.98075,0.98667,0.98594,0.96593,0.98075,0.98667,0.98594,0.93151,0.23011,0.35723,0.19549,0.77666,0,0.000732638,0.000732638,0.000732638
88,5408.07,0.66837,1.72895,0.64206,1.21375,0,0.99073,0.98667,0.98667,0.97755,0.99073,0.98667,0.98667,0.93185,0.238,0.35851,0.19296,0.77869,0,0.000728238,0.000728238,0.000728238
89,5468.19,0.68201,1.75141,0.64086,1.22274,0,0.96672,0.98667,0.98851,0.96961,0.96672,0.98667,0.98851,0.93187,0.24803,0.36304,0.21711,0.78333,0,0.000723839,0.000723839,0.000723839
90,5528.41,0.69698,1.77205,0.65892,1.23088,0,0.98144,0.98667,0.98526,0.96645,0.98144,0.98667,0.98526,0.9214,0.24459,0.33656,0.19784,0.79477,0,0.000719439,0.000719439,0.000719439
91,5588.57,0.70086,1.80996,0.65968,1.23002,0,0.99045,0.98667,0.98432,0.94836,0.99045,0.98667,0.98432,0.925,0.28828,0.38321,0.2254,0.79943,0,0.00071504,0.00071504,0.00071504
92,5648.65,0.67946,1.73665,0.63878,1.22329,0,0.98411,0.98667,0.98391,0.95901,0.98411,0.98667,0.98391,0.91287,0.24557,0.39138,0.19136,0.79919,0,0.00071064,0.00071064,0.00071064
93,5708.52,0.6774,1.72327,0.63949,1.21564,0,0.99556,0.98667,0.98545,0.95497,0.99556,0.98667,0.98545,0.93347,0.25966,0.35978,0.20129,0.80451,0,0.00070624,0.00070624,0.00070624
94,5768.61,0.67281,1.73626,0.63821,1.2137,0,0.99043,0.98667,0.98851,0.97793,0.99043,0.98667,0.98851,0.93795,0.24109,0.35595,0.18593,0.79483,0,0.000701841,0.000701841,0.000701841
95,5828.72,0.666,1.71389,0.62824,1.20274,0,0.98477,0.98667,0.98559,0.9701,0.98477,0.98667,0.98559,0.93543,0.2665,0.35295,0.19329,0.79727,0,0.000697441,0.000697441,0.000697441
96,5888.82,0.66027,1.67795,0.60798,1.19853,0,0.97992,0.98667,0.98764,0.96423,0.97992,0.98667,0.98764,0.94257,0.24079,0.31035,0.18538,0.79229,0,0.000693042,0.000693042,0.000693042
97,5948.95,0.66868,1.69994,0.62153,1.21295,0,0.98152,0.98667,0.98701,0.97665,0.98152,0.98667,0.98701,0.92796,0.24263,0.37084,0.1823,0.78479,0,0.000688642,0.000688642,0.000688642
98,6009.37,0.65168,1.68042,0.61734,1.19609,0,0.97923,0.98667,0.9848,0.95873,0.97923,0.98667,0.9848,0.93174,0.23465,0.34325,0.20024,0.78144,0,0.000684243,0.000684243,0.000684243
99,6069.15,0.67223,1.73667,0.6223,1.222,0,0.96668,0.98667,0.98381,0.97459,0.96668,0.98667,0.98381,0.93053,0.24058,0.32046,0.19417,0.7869,0,0.000679843,0.000679843,0.000679843
